ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
16788,3.0,RETIRO,"CALL. ANTONIO MAURA, 6",,,6,
16789,13.0,PUENTE DE VALLECAS,AUTOV. A-3 / CCULT. ALFREDO KRAUS,,,+00600S,
16790,7.0,CHAMBERÍ,CALL. GUZMAN EL BUENO / CALL. POETA ANGELA FIGUERA,,,110,
16791,11.0,CARABANCHEL,AVDA. PESETA / AVDA. CARABANCHEL ALTO,,,76,
16792,4.0,SALAMANCA,CALL. GOYA / CALL. GENERAL DIAZ PORLIER,,,66,
16793,5.0,CHAMARTÍN,"CALL. PARAGUAY, 1",,,1,
16794,3.0,RETIRO,"PLAZA. CONDE DE CASAL, 1",,,1,
16795,14.0,MORATALAZ,"AVDA. DOCTOR GARCIA TAPIA, 126",,,126,
16796,20.0,SAN BLAS-CANILLEJAS,"CALL. HERMANOS GARCIA NOBLEJAS, 45",,,45,
16797,6.0,TETUÁN,"CALL. BRAVO MURILLO, 218",,,218,
16798,3.0,RETIRO,"CALL. CAVANILLES, 8",,,8,
16799,4.0,SALAMANCA,"CALL. FUENTE DEL BERRO, 39",,,39,
16800,12.0,USERA,CALL. MIRASIERRA / CALL. MATILDE GAYO,,,33,
16801,12.0,USERA,"CALL. DOLORES BARRANCO, 90",,,90,
16802,11.0,CARABANCHEL,AVDA. POBLADOS / CALL. SECOYA,,,109,
16803,12.0,USERA,CALL. EDUARDO BARREIROS / AVDA. ANDALUCIA,,,6,
16804,20.0,SAN BLAS-CANILLEJAS,"CALL. DISCOBOLO, 58",,,58,
16805,13.0,PUENTE DE VALLECAS,CALL. PICO ALMANZOR / CALL. SANTA AMALIA,,,5,
16806,11.0,CARABANCHEL,"CALL. PORTALEGRE, 100",,,100,
16807,14.0,MORATALAZ,"CALL. FUENTE CARRANTONA, 2",,,2,
16808,19.0,VICÁLVARO,"CALL. ARROYO DEL HOYO, 15",,,15,
16809,14.0,MORATALAZ,"AUTOV. M-30, 08XL11",,,08XL11,
16810,16.0,HORTALEZA,CTRA. ESTACION DE HORTALEZA / CALL. SANTA ADELA,,,14,
16811,9.0,MONCLOA-ARAVACA,"AVDA. MEMORIA, FAROLA 30",,,1,
16812,15.0,CIUDAD LINEAL,CALL. RICARDO ORTIZ / AVDA. DAROCA,,,1,
