route_key,linea_id,linea_nombre
501,191C,Buitrago - Montejo de la Sierra
502,191C,Buitrago - Montejo de la Sierra
503,191C,Buitrago - Montejo de la Sierra
504,191C,Buitrago - Montejo de la Sierra
505,191C,Buitrago - Montejo de la Sierra
506,191C,Buitrago - Montejo de la Sierra
507,191D,Buitrago - Robledillo de la Jara
508,191D,Buitrago - Robledillo de la Jara
509,191D,Buitrago - Robledillo de la Jara
510,191D,Buitrago - Robledillo de la Jara
511,191D,Buitrago - Robledillo de la Jara
512,191D,Buitrago - Robledillo de la Jara
513,191D,Buitrago - Robledillo de la Jara
514,191D,Buitrago - Robledillo de la Jara
515,191D,Buitrago - Robledillo de la Jara
516,191D,Buitrago - Robledillo de la Jara
517,191D,Buitrago - Robledillo de la Jara
518,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
519,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
520,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
521,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
522,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
523,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
524,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
525,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
526,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
527,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
528,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
529,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
530,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
531,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
532,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
533,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
534,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
535,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
536,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
537,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
538,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
539,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
540,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
541,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
542,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
543,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
544,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
545,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
546,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
547,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
548,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
549,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
550,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
551,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
552,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
553,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
554,193,Madrid (Plaza de Castilla) - Pedrezuela - El Vellón
555,193A,El Molar - Cotos de Monterrey - Venturada
556,193A,El Molar - Cotos de Monterrey - Venturada
557,193A,El Molar - Cotos de Monterrey - Venturada
558,193A,El Molar - Cotos de Monterrey - Venturada
559,193A,El Molar - Cotos de Monterrey - Venturada
560,193A,El Molar - Cotos de Monterrey - Venturada
561,193A,El Molar - Cotos de Monterrey - Venturada
562,193A,El Molar - Cotos de Monterrey - Venturada
563,193A,El Molar - Cotos de Monterrey - Venturada
564,194A,Buitrago - Lozoyuela - Rascafría
565,194A,Buitrago - Lozoyuela - Rascafría
566,194A,Buitrago - Lozoyuela - Rascafría
567,194A,Buitrago - Lozoyuela - Rascafría
568,194A,Buitrago - Lozoyuela - Rascafría
569,194A,Buitrago - Lozoyuela - Rascafría
570,194A,Buitrago - Lozoyuela - Rascafría
571,194A,Buitrago - Lozoyuela - Rascafría
572,194A,Buitrago - Lozoyuela - Rascafría
573,194A,Buitrago - Lozoyuela - Rascafría
574,194A,Buitrago - Lozoyuela - Rascafría
575,194A,Buitrago - Lozoyuela - Rascafría
576,194A,Buitrago - Lozoyuela - Rascafría
577,194A,Buitrago - Lozoyuela - Rascafría
578,194A,Buitrago - Lozoyuela - Rascafría
579,194A,Buitrago - Lozoyuela - Rascafría
580,194A,Buitrago - Lozoyuela - Rascafría
581,194A,Buitrago - Lozoyuela - Rascafría
582,194A,Buitrago - Lozoyuela - Rascafría
583,194A,Buitrago - Lozoyuela - Rascafría
584,194A,Buitrago - Lozoyuela - Rascafría
585,194A,Buitrago - Lozoyuela - Rascafría
586,194A,Buitrago - Lozoyuela - Rascafría
587,194A,Buitrago - Lozoyuela - Rascafría
588,194A,Buitrago - Lozoyuela - Rascafría
589,194A,Buitrago - Lozoyuela - Rascafría
590,195,Madrid (Plaza de Castilla) - Braojos
591,195,Madrid (Plaza de Castilla) - Braojos
592,195,Madrid (Plaza de Castilla) - Braojos
593,195,Madrid (Plaza de Castilla) - Braojos
594,195,Madrid (Plaza de Castilla) - Braojos
595,195,Madrid (Plaza de Castilla) - Braojos
596,195,Madrid (Plaza de Castilla) - Braojos
597,195,Madrid (Plaza de Castilla) - Braojos
598,195,Madrid (Plaza de Castilla) - Braojos
599,195,Madrid (Plaza de Castilla) - Braojos
600,195,Madrid (Plaza de Castilla) - Braojos
601,195,Madrid (Plaza de Castilla) - Braojos
602,195,Madrid (Plaza de Castilla) - Braojos
603,195,Madrid (Plaza de Castilla) - Braojos
604,195,Madrid (Plaza de Castilla) - Braojos
605,195,Madrid (Plaza de Castilla) - Braojos
606,195,Madrid (Plaza de Castilla) - Braojos
607,195,Madrid (Plaza de Castilla) - Braojos
608,195,Madrid (Plaza de Castilla) - Braojos
609,195,Madrid (Plaza de Castilla) - Braojos
610,195,Madrid (Plaza de Castilla) - Braojos
611,195,Madrid (Plaza de Castilla) - Braojos
612,195,Madrid (Plaza de Castilla) - Braojos
613,195,Madrid (Plaza de Castilla) - Braojos
614,195,Madrid (Plaza de Castilla) - Braojos
615,195,Madrid (Plaza de Castilla) - Braojos
616,195,Madrid (Plaza de Castilla) - Braojos
617,195,Madrid (Plaza de Castilla) - Braojos
618,195,Madrid (Plaza de Castilla) - Braojos
619,195,Madrid (Plaza de Castilla) - Braojos
620,195,Madrid (Plaza de Castilla) - Braojos
621,195,Madrid (Plaza de Castilla) - Braojos
622,195,Madrid (Plaza de Castilla) - Braojos
623,195,Madrid (Plaza de Castilla) - Braojos
624,195,Madrid (Plaza de Castilla) - Braojos
625,195,Madrid (Plaza de Castilla) - Braojos
626,195,Madrid (Plaza de Castilla) - Braojos
627,195,Madrid (Plaza de Castilla) - Braojos
628,195,Madrid (Plaza de Castilla) - Braojos
629,195,Madrid (Plaza de Castilla) - Braojos
630,195,Madrid (Plaza de Castilla) - Braojos
631,195,Madrid (Plaza de Castilla) - Braojos
632,195,Madrid (Plaza de Castilla) - Braojos
633,195,Madrid (Plaza de Castilla) - Braojos
634,195,Madrid (Plaza de Castilla) - Braojos
635,195,Madrid (Plaza de Castilla) - Braojos
636,195,Madrid (Plaza de Castilla) - Braojos
637,195,Madrid (Plaza de Castilla) - Braojos
638,195,Madrid (Plaza de Castilla) - Braojos
639,195,Madrid (Plaza de Castilla) - Braojos
640,195,Madrid (Plaza de Castilla) - Braojos
641,195,Madrid (Plaza de Castilla) - Braojos
642,195,Madrid (Plaza de Castilla) - Braojos
643,195,Madrid (Plaza de Castilla) - Braojos
644,195,Madrid (Plaza de Castilla) - Braojos
